id,name,birthdate,deathdate
4167,Josh Zuckerman,4/1/1985,
4168,Joshua Leonard,6/17/1975,
4169,Joshua Logan,10/5/1908,7/12/1988
4170,Joshua Marston,8/13/1968,
4171,Joshua Michael Stern,,
4172,Joshua Mikel,,
4173,Joshua Oppenheimer,9/23/1974,
4174,Joshua Ormond,,
4175,Joshua Ray Bell,8/27/1981,
4176,Joshua Seftel,7/17/1968,
4177,Joshua Tickell,,
4178,Josie Ho,12/26/1974,
4179,Josie Loren,3/19/1987,
4180,Joss Ackland,2/29/1928,
4181,Joss Whedon,6/23/1964,
4182,Jossara Jinaro,5/25/1973,
4183,Joy Bryant,10/18/1974,
4184,Joyce Randolph,10/21/1924,
4185,Joyce Van Patten,3/9/1934,
4186,Joyful Drake,9/24/1976,
4187,JR Bourne,4/8/1970,
4188,Jsu Garcia,10/6/1963,
4189,Juan Carlos Fresnadillo,12/5/1967,
4190,Juan Carlos Montoya,10/14/1974,
4191,Juan Fernández,12/27/1900,2/3/1974
4192,Juan José Campanella,7/19/1959,
4193,Juan Luis Galiardo,3/2/1940,6/22/2012
4194,Juan Riedinger,2/27/1981,
4195,Jud Tylor,3/24/1979,
4196,Judd Apatow,12/6/1967,
4197,Judd Hirsch,3/15/1935,
4198,Jude Ciccolella,,
4199,Judge Reinhold,5/21/1957,
4200,Judie Aronson,6/7/1964,
4201,Judith Anderson,1897-02-10,1/3/1992
4202,Judith Barsi,6/6/1978,7/25/1988
4203,Judith Chapman,11/15/1951,
4204,Judith Godrèche,3/23/1972,
4205,Judith Hill,,
4206,Judith O'Dea,4/20/1945,
4207,Judy Davis,4/23/1955,
4208,Judy Greer,7/20/1975,
4209,Judy Marte,4/12/1983,
4210,Jugal Hansraj,7/26/1972,
4211,Juhi Chawla,11/13/1967,
4212,Julene Renee,,
4213,Julia Duffy,6/27/1951,
4214,Julia Garner,,
4215,Julia Jentsch,2/20/1978,
4216,Julia Jones,3/27/1923,10/9/2015
4217,Julia Nickson,9/11/1958,
4218,Julia Ormond,1/4/1965,
4219,Julia Roberts,10/28/1967,
4220,Julia Sawalha,9/9/1968,
4221,Julia Taylor Ross,,
4222,Julian Fellowes,8/17/1949,
4223,Julian Gilbey,,
4224,Julian Glover,3/27/1935,
4225,Julian Jarrold,5/15/1960,
4226,Julian Kostov,,
4227,Julian Morris,1/13/1983,
4228,Julian Richings,9/8/1955,
4229,Julian Sands,1/4/1958,
4230,Julian Schnabel,10/26/1951,
4231,Juliane Köhler,8/6/1965,
4232,Julianna Guill,7/7/1987,
4233,Julianna Pitt,5/17/1984,
4234,Julianne Gabert,,
4235,Julie Adams,10/17/1926,
4236,Julie Anne Robinson,,
4237,Julie Benz,5/1/1972,
4238,Julie Christie,4/14/1941,
4239,Julie Davis,,
4240,Julie Dawn Cole,10/26/1957,
4241,Julie Engelbrecht,6/30/1984,
4242,Julie Gonzalo,9/9/1981,
4243,Julie Kavner,9/7/1950,
4244,Julie LeBreton,,
4245,Julie R. Ølgaard,9/29/1981,
4246,Julie Taymor,12/15/1952,
4247,Julie Walters,2/22/1950,
4248,Julie-Marie Parmentier,6/13/1981,
4249,Julien Temple,11/26/1953,
4250,Juliet Stevenson,10/30/1956,
4251,Julio DePietro,,
4252,Jun Falkenstein,5/7/1969,
4253,Jun Kunimura,11/16/1955,
4254,June Carter Cash,6/23/1929,5/15/2003
4255,June Diane Raphael,1/4/1980,
4256,June Foray,9/18/1917,
4257,June Lockhart,6/25/1925,
4258,June Squibb,11/6/1929,
4259,Jung-jae Lee,3/15/1973,
4260,Jung-min Hwang,9/1/1970,
4261,Junix Inocian,3/17/1951,6/13/2015
4262,Juraj Jakubisko,4/30/1938,
4263,Jürgen Prochnow,6/10/1941,
4264,Jurnee Smollett-Bell,10/1/1986,
4265,Justin Baldoni,1/24/1984,
4266,Justin Chadwick,12/1/1968,
4267,Justin Chambers,7/11/1970,
4268,Justin Chon,5/29/1981,
4269,Justin Dillon,,
4270,Justin Edward Seale,,
4271,Justin Gordon,,
4272,Justin Hall,,
4273,Justin Kerrigan,,
4274,Justin Kirk,5/28/1969,
4275,Justin Lin,10/11/1973,
4276,Justin Molotnikov,,
4277,Justin Paul Miller,,
4278,Justin Pierce,3/21/1975,7/10/2000
4279,Justin Rice,,
4280,Justin Theroux,8/10/1971,
4281,Justin Thomas Ostensen,,
4282,Justin Timberlake,1/31/1981,
4283,Justin Tipping,,
4284,Justin Zackham,,
4285,Justine Waddell,11/4/1975,
4286,K. King,12/21/1948,
4287,Kabir Bedi,1/16/1946,
4288,Kabir Sadanand,,
4289,Kacey Clarke,1/14/1988,
4290,Kad Merad,3/27/1964,
4291,KaDee Strickland,12/14/1975,
4292,Kaige Chen,8/12/1952,
4293,Kaitlin Olson,8/18/1975,
4294,Kaitlyn Dever,12/21/1996,
4295,Kaiwi Lyman-Mersereau,,
4296,Kali Rocha,12/5/1971,
4297,Kalim Chandler,,
4298,Kamatari Fujiwara,1/15/1905,12/21/1985
4299,Kamel Krifa,,
4300,Kamil McFadden,,
4301,Kane Hodder,4/8/1955,
4302,Kang-ho Song,1/17/1967,
4303,Kar-Wai Wong,7/17/1956,
4304,Kara Hayward,11/17/1998,
4305,Karan Brar,1/18/1999,
4306,Karan Johar,5/25/1972,
4307,Karen Alexander,,
4308,Karen Allen,10/5/1951,
4309,Karen Mok,6/2/1970,
4310,Karen Moncrieff,12/20/1963,
4311,Karen Pittman,,
4312,Karen Young,,
4313,Karey Kirkpatrick,12/14/1964,
4314,Kari J. Kramer,,
4315,Kari Matchett,3/25/1970,
4316,Kari Skogland,,
4317,Kari Wuhrer,4/28/1967,
4318,Karim Aïnouz,1/17/1966,
4319,Karin Dor,2/22/1938,
4320,Karin Konoval,,
4321,Karin Viard,1/24/1966,
4322,Karisma Kapoor,6/25/1974,
4323,Karl Collins,,
4324,Karl E. Landler,3/28/1980,
4325,Karl Johnson,3/1/1948,
4326,Karl Malden,3/22/1912,7/1/2009
4327,Karl Yune,4/16/1975,
4328,Karolina Wydra,3/5/1981,
4329,Karra Elejalde,10/10/1960,
4330,Karyn Kusama,3/21/1968,
4331,Kasi Lemmons,2/24/1961,
4332,Kasia Smutniak,8/13/1979,
4333,Kassie Wesley DePaiva,3/21/1961,
4334,Kat Coiro,,
4335,Kate Ashfield,5/28/1972,
4336,Kate Barker-Froyland,,
4337,Kate Burton,9/10/1957,
4338,Kate Capshaw,11/3/1953,
4339,Kate Connor,,
4340,Kate del Castillo,10/23/1972,
4341,Kate Dickie,,
4342,Kate Dollenmayer,,
4343,Kate Flannery,6/10/1964,
4344,Kate Graham,9/5/1989,
4345,Kate Higgins,8/16/1969,
4346,Kate Luyben,6/30/1972,
4347,Kate Maberly,3/14/1982,
4348,Kate Magowan,6/1/1975,
4349,Kate McKinnon,1/6/1984,
4350,Kate Upton,6/10/1992,
4351,Kate Walsh,10/13/1967,
4352,Kate Winslet,10/5/1975,
4353,Kath Soucie,11/18/1953,
4354,Katharina Schüttler,10/20/1979,
4355,Katharine Isabelle,11/2/1981,
4356,Katharine McPhee,3/25/1984,
4357,Katharine Ross,1/29/1940,
4358,Katherine Boecher,8/10/1981,
4359,Katherine Brooks,,
4360,Katherine Dieckmann,,
4361,Katherine Helmond,7/5/1929,
4362,Katherine LaNasa,12/1/1966,
4363,Katherine McNamara,11/22/1995,
4364,Katherine Parkinson,,
4365,Katherine Waterston,3/3/1980,
4366,Kathleen Freeman,,
4367,Kathleen Kinmont,2/3/1965,
4368,Kathleen Munroe,4/9/1982,
4369,Kathleen Quinlan,11/19/1954,
4370,Kathleen Robertson,7/8/1973,
4371,Kathleen Rose Perkins,11/15/1974,
4372,Kathleen Turner,6/19/1954,
4373,Kathleen Wilhoite,6/29/1964,
4374,Kathryn Bigelow,11/27/1951,
4375,Kathryn Erbe,7/5/1965,
4376,Kathryn Joosten,12/20/1939,6/2/2012
4377,Kathryn Morris,1/28/1969,
4378,Kathy Baker,6/8/1950,
4379,Kathy Griffin,11/4/1960,
4380,Kathy Uyen,4/28/1981,
4381,Kati Outinen,8/17/1961,
4382,Katia Winter,10/13/1983,
4383,Katie Aselton,10/1/1978,
4384,Katie Leclerc,11/6/1986,
4385,Katie Lowes,,
4386,Katja von Garnier,12/15/1966,
4387,Katrina Bowden,9/19/1988,
4388,Katrina Kaif,7/16/1984,
4389,Katrina Law,9/30/1985,
4390,Katsuhiro Ôtomo,4/14/1954,
4391,Katt Shea,,
4392,Katt Williams,,
4393,Katy Helvenston-Wettengal,,
4394,Katy Jurado,1/16/1924,7/5/2002
4395,Katy Mixon,3/30/1981,
4396,Kay Panabaker,5/2/1990,
4397,Kay Pollak,5/21/1938,
4398,Kayden Kross,9/15/1985,
4399,Kayla Ewell,8/27/1985,
4400,Kayla Jackson,,
4401,Kayla Raparelli,,
4402,Kaylee DeFer,9/23/1986,
4403,Kayvan Novak,11/23/1978,
4404,Kazunari Ninomiya,6/17/1983,
4405,Keanu Reeves,9/2/1964,
4406,Keegan Connor Tracy,12/3/1971,
4407,Keegan-Michael Key,3/22/1971,
4408,Keeley Hawes,2/10/1976,
4409,Keenan Tracey,,
4410,Keenan Wynn,7/27/1916,10/14/1986
4411,Keenen Ivory Wayans,6/8/1958,
4412,Keir Dullea,5/30/1936,
4413,Keir O'Donnell,11/8/1978,
4414,Keisha Castle-Hughes,3/24/1990,
4415,Keith Allen,9/2/1953,
4416,Keith Carradine,8/8/1949,
4417,Keith Gordon,5/26/1919,9/10/1989
4418,Keith Hudson,,
4419,Keith Parmer,,
4420,Keith Richards,12/18/1943,
4421,Kel O'Neill,,
4422,Kelen Coleman,,
4423,Kelli Barrett,1/26/1984,
4424,Kelli Garner,4/11/1984,
4425,Kelli Williams,6/8/1970,
4426,Kellie Martin,10/16/1975,
4427,Kelly Asbury,1/15/1960,
4428,Kelly Brook,11/23/1979,
4429,Kelly Carlson,2/17/1976,
4430,Kelly Clarkson,4/24/1982,
4431,Kelly Jo Minter,9/24/1966,
4432,Kelly Keaton,,
4433,Kelly LeBrock,3/24/1960,
4434,Kelly Lin,10/29/1975,
4435,Kelly Lynch,1/31/1959,
4436,Kelly Macdonald,2/23/1976,
4437,Kelly Makin,,
4438,Kelly Paterniti,12/6/1987,
4439,Kelly Preston,10/13/1962,
4440,Kelly Reichardt,,
4441,Kelly Reno,6/19/1966,
4442,Kelly Ripa,10/2/1970,
4443,Kelly Rowan,10/26/1965,
4444,Kelly Rutherford,11/6/1968,
4445,Kelsey Grammer,2/21/1955,
4446,Kelvin Han Yee,,
4447,Ken Annakin,8/10/1914,4/22/2009
4448,Ken Arnold,,
4449,Ken Bevel,,
4450,Ken Burns,7/29/1953,
4451,Ken Davis,,
4452,Ken Davitian,6/19/1953,
4453,Ken Del Conte,11/2/1941,
4454,Ken Foree,2/29/1948,
4455,Ken Howard,3/28/1944,3/23/2016
4456,Ken Kwapis,8/17/1957,
4457,Ken Leung,1/21/1970,
4458,Ken Loach,6/17/1936,
4459,Ken Marino,12/19/1968,
4460,Ken Roht,,
4461,Ken Sansom,4/2/1927,10/8/2012
4462,Ken Scott,,
4463,Ken Shapiro,,
4464,Ken Siu,,
4465,Ken Takakura,2/16/1931,11/10/2014
4466,Kenan Thompson,5/10/1978,
4467,Kendrick Cross,5/1/1971,
4468,Kendyl Joi,,
4469,Kenneth Branagh,12/10/1960,
4470,Kenneth Colley,12/7/1937,
4471,Kenneth Cranham,12/12/1944,
4472,Kenneth Johnson,,
4473,Kenneth Lonergan,10/16/1962,
4474,Kenneth Mars,4/4/1935,2/12/2011
4475,Kenneth Mitchell,,
4476,Kenneth Nkosi,,
4477,Kenneth Tobey,3/23/1917,12/22/2002
4478,Kenneth Williams,11/22/1966,
4479,Kenny Baker,7/30/1969,
4480,Kenny Johnston,8/7/1968,
4481,Kenny Ortega,4/18/1950,
4482,Kent Alterman,,
4483,Kent McCord,9/26/1942,
4484,Keram Malicki-Sánchez,5/14/1974,
4485,Keri Lynn Pratt,9/23/1978,
4486,Keri Maletto,12/26/1977,
4487,Kerr Smith,3/9/1972,
4488,Kerry Bishé,,
4489,Kerry Cahill,,
4490,Kerry Condon,1/4/1983,
4491,Kerry Conran,11/6/1964,
4492,Keshia Knight Pulliam,4/9/1979,
4493,Kesun Loder,5/22/1993,
4494,Kevin Alejandro,4/7/1976,
4495,Kevin Allen,9/15/1962,
4496,Kevin Bray,8/19/1965,
4497,Kevin Breznahan,11/24/1968,
4498,Kevin Brodie,5/31/1952,
4499,Kevin Brown,,
4500,Kevin Carraway,,
4501,Kevin Chamberlin,11/25/1963,
4502,Kevin Clash,9/17/1960,
4503,Kevin Connolly,3/5/1974,
4504,Kevin Corrigan,3/27/1969,
4505,Kevin Costner,1/18/1955,
4506,Kevin Dillon,8/19/1965,
4507,Kevin Donovan,,
4508,Kevin Dunn,8/24/1956,
4509,Kevin G. Schmidt,8/16/1988,
4510,Kevin Gage,5/26/1959,
4511,Kevin Greutert,3/31/1965,
4512,Kevin Grevioux,9/9/1962,
4513,Kevin Hamedani,12/25/1982,
4514,Kevin Hooks,9/19/1958,
4515,Kevin Howarth,,
4516,Kevin J. O'Connor,,
4517,Kevin Jordan,,
4518,Kevin Leslie,,
4519,Kevin Lima,,
4520,Kevin Macdonald,5/16/1961,
4521,Kevin McCarthy,,
4522,Kevin McGowan,,
4523,Kevin McHale,6/14/1988,
4524,Kevin McNally,4/27/1956,
4525,Kevin Michael Richardson,10/25/1964,
4526,Kevin Munroe,,
4527,Kevin Nash,7/9/1959,
4528,Kevin Nealon,11/18/1953,
4529,Kevin P. Farley,6/8/1965,
4530,Kevin Peter Hall,5/9/1955,4/10/1991
4531,Kevin Pollak,10/30/1957,
4532,Kevin Rahm,1/7/1971,
4533,Kevin Rankin,4/18/1976,
4534,Kevin Reynolds,1/17/1952,
4535,Kevin Rodney Sullivan,8/3/1958,
4536,Kevin Scott Richardson,10/3/1971,
4537,Kevin Smith,8/2/1970,
4538,Kevin Spacey,7/26/1959,
4539,Kevin Sussman,12/4/1970,
4540,Kevin Tancharoen,4/23/1984,
4541,Kevin Tenney,10/16/1955,
4542,Kevin Tighe,8/13/1944,
4543,Kevin Williamson,3/14/1965,
4544,Kevin Zegers,9/19/1984,
4545,Kevork Malikyan,6/2/1943,
4546,Khaira Arby,,
4547,Khalid Abdalla,12/30/1980,
4548,Khalid Mohamed,,
4549,Khalil Sullins,,
4550,Khamani Griffin,8/1/1998,
4551,Khandi Alexander,9/4/1957,
4552,Khulan Chuluun,5/30/1985,
4553,Khyentse Norbu,,
4554,Ki Hong Lee,,
4555,Kick Gurry,5/25/1978,
4556,Kief Davidson,5/12/1970,
4557,Kieran Culkin,9/30/1982,
4558,Kiernan Shipka,11/10/1999,
4559,Kiersey Clemons,12/17/1993,
4560,Kieu Chinh,,
4561,Kim Chan,12/28/1917,10/5/2008
4562,Kim Darby,7/8/1947,
4563,Kim De Angelo,,
4564,Kim Delaney,11/29/1961,
4565,Kim Dickens,6/18/1965,
4566,Kim Director,11/13/1974,
4567,Kim Farrant,,
4568,Kim Hunter,6/15/1947,
4569,Kim Ly,,
4570,Kim Nguyen,,
4571,Kim Shaw,,
4572,Kim Thomson,,
4573,Kim-Marie Woodhouse,,
4574,Kimberley Crossman,5/24/1990,
4575,Kimberly Beck,1/9/1956,
4576,Kimberly Elise,4/17/1967,
4577,Kimberly J. Brown,,
4578,Kimberly Peirce,9/8/1967,
4579,Kimberly Williams-Paisley,9/14/1971,
4580,Kimble Rendall,,
4581,King Vidor,1894-02-08,11/1/1982
4582,Kinka Usher,,
4583,Kiowa Gordon,3/25/1990,
4584,Kip Pardue,9/23/1975,
4585,Kira McLean,,
4586,Kiran Shah,9/28/1956,
4587,Kirby Bliss Blanton,10/24/1990,
4588,Kirby Heyborne,,
4589,Kirk Baltz,9/14/1959,
4590,Kirk Cameron,10/12/1970,
4591,Kirk De Micco,,
4592,Kirk Fox,8/26/1969,
4593,Kirk Jones,10/31/1964,
4594,Kirk Loudon,,
4595,Kirk Wong,,
4596,Kirpatrick Thomas,,
4597,Kirsten Collins,,
4598,Kirsten Day,,
4599,Kirsten Dunst,4/30/1982,
4600,Kirsten Sheridan,7/14/1976,
4601,Kirstie Alley,1/12/1951,
4602,Kiyoshi Kurosawa,7/19/1955,
4603,Kjell Nilsson,,
4604,Klaus Kinski,10/18/1926,11/23/1991
4605,Klaus Maria Brandauer,6/22/1943,
4606,Klaus Menzel,,
4607,Kodi Smit-McPhee,6/13/1996,
4608,Kôji Yakusho,1/1/1956,
4609,Konstantin Khabenskiy,1/11/1972,
4610,Konstantin Lavronenko,4/20/1961,
4611,Kostja Ullmann,5/30/1984,
4612,Kris Isacsson,,
4613,Kris Marshall,4/1/1973,
4614,Kris Sommerville,,
4615,Krista Allen,4/5/1971,
4616,Kristen Cloke,9/2/1968,
4617,Kristen Connolly,7/12/1980,
4618,Kristen Johnston,9/20/1967,
4619,Kristen Quintrall,,
4620,Kristen Seavey,,
4621,Kristen Stewart,4/9/1990,
4622,Kristi Clainos,7/12/1974,
4623,Kristian Bruun,,
4624,Kristin Booth,8/28/1974,
4625,Kristin Davis,2/23/1965,
4626,Kristin Lehman,5/3/1972,
4627,Kristin Rizzo,,
4628,Kristin Scott Thomas,5/24/1960,
4629,Kristoffer Polaha,2/18/1977,
4630,Kristy Swanson,12/19/1969,
4631,Kriv Stenders,,
4632,Krysta Rodriguez,7/23/1984,
4633,Kumar Gaurav,7/11/1960,
4634,Kundan Shah,10/19/1947,
4635,Kunihiko Yuyama,10/15/1952,
4636,Kuno Becker,1/14/1978,
4637,Kurt Angle,12/9/1969,
4638,Kurt Fuller,9/16/1953,
4639,Kurt Hale,,
4640,Kurt Loder,5/5/1945,
4641,Kurt Voss,9/16/1963,
4642,Kurt Wimmer,,
4643,Kurtwood Smith,7/3/1943,
4644,Kwesi Ameyaw,8/24/1975,
4645,Kwok-Kwan Chan,8/1/1975,
4646,Kyla Pratt,9/16/1986,
4647,Kyla Wise,,
4648,Kyle Balda,3/9/1971,
4649,Kyle Gass,7/14/1960,
4650,Kyle Hebert,6/14/1969,
4651,Kyle Schmid,8/3/1984,
4652,Kylie Bunbury,1/30/1989,
4653,Kylie Minogue,5/28/1968,
4654,Kyra Nichols,,
4655,Kyra Sedgwick,8/19/1965,
4656,Kyung-gu Sol,5/1/1968,
4657,L.Q. Jones,3/14/1933,
4658,La'Princess Jackson,,
4659,Laila Haley,,
4660,Lainie Kazan,5/15/1940,
4661,Laird John Hamilton,3/2/1964,
4662,Lajos Koltai,4/2/1946,
4663,Lalaine,6/3/1987,
4664,Lambert Wilson,8/3/1958,
4665,Lamman Rucker,10/6/1971,
4666,Lana Wachowski,6/21/1965,
4667,Lance Gross,7/8/1981,
4668,Lance Hool,5/11/1948,
4669,Lance Kawas,,
4670,Lance McDaniel,,
4671,Lance Mungia,,
4672,Lance Rivera,,
4673,Landon Liboiron,,
4674,Lane Smith,4/29/1936,6/13/2005
4675,Lara Flynn Boyle,3/24/1970,
4676,Lara Jean Chorostecki,9/24/1984,
4677,Lara Jill Miller,4/20/1967,
4678,Lara Pulver,9/1/1980,
4679,Laraine Day,10/13/1920,11/10/2007
4680,Larenz Tate,9/8/1975,
4681,Lark Voorhies,3/25/1974,
4682,Larry Bagby,3/7/1974,
4683,Larry Blamire,,
4684,Larry Charles,12/1/1956,
4685,Larry Clark,1/19/1943,
4686,Larry David,7/2/1947,
4687,Larry Drake,2/21/1949,3/17/2016
4688,Larry Fessenden,3/23/1963,
4689,Larry Hankin,8/31/1940,
4690,Larry Joe Campbell,11/29/1970,
4691,Larry King,11/19/1933,
4692,Larry Miller,10/15/1953,
4693,Larry Mullen Jr.,10/31/1961,
4694,Larry Poindexter,12/16/1959,
4695,Larry the Cable Guy,2/17/1963,
4696,Lars Mikkelsen,5/6/1964,
4697,Lars Ulrich,12/26/1963,
4698,Lars von Trier,4/30/1956,
4699,Laslo Benedek,3/5/1905,3/11/1992
4700,Lasse Hallström,6/2/1946,
4701,Lateef Crowder,11/23/1977,
4702,Laura Breckenridge,8/22/1983,
4703,Laura Brent,,
4704,Laura Flanders,12/5/1961,
4705,Laura Fraser,7/24/1976,
4706,Laura Harring,3/3/1964,
4707,Laura Harris,,
4708,Laura Morante,8/21/1956,
4709,Laura Ramsey,11/14/1982,
4710,Laura San Giacomo,11/14/1962,
4711,Laura Spencer,6/19/1969,
4712,Laura-Leigh,,
4713,Laurel Holloman,5/23/1971,
4714,Lauren Ambrose,2/20/1978,
4715,Lauren C. Mayhew,11/27/1985,
4716,Lauren Cohan,1/7/1982,
4717,Lauren German,11/29/1978,
4718,Lauren Gottlieb,,
4719,Lauren Holly,10/28/1963,
4720,Lauren Lazin,,
4721,Lauren Lee Smith,6/19/1980,
4722,Lauren London,12/5/1984,
4723,Lauren Sweetser,2/11/1988,
4724,Laurence Dunmore,,
4725,Laurence Fox,5/26/1978,
4726,Laurence Olivier,5/22/1907,7/11/1989
4727,Laurent Bouhnik,4/7/1961,
4728,Laurent Cantet,6/15/1961,
4729,Laurent Poitrenaux,,
4730,Laurent Tirard,,
4731,Laurie Collyer,,
4732,Laurie Metcalf,6/16/1955,
4733,Lauryn Hill,5/26/1975,
4734,Lawrence Gilliard Jr.,9/22/1971,
4735,Lawrence Guterman,,
4736,Lawrence Kasanoff,6/1/1959,
4737,Lawrence Kasdan,1/14/1949,
4738,Laz Alonso,3/25/1974,
4739,Léa Drucker,1/23/1972,
4740,Lea Michele,8/29/1986,
4741,Léa Pool,,
4742,Lea Thompson,5/31/1961,
4743,Leah Remini,6/15/1970,
4744,Lee Arenberg,7/18/1962,
4745,Lee Armstrong,,
4746,Lee Daniels,12/24/1959,
4747,Lee Evans,2/25/1964,
4748,Lee Ingleby,1/28/1976,
4749,Lee J. Cobb,12/8/1911,2/11/1976
4750,Lee Majors,4/23/1939,
4751,Lee Marvin,2/19/1924,8/29/1987
4752,Lee Norris,4/19/1982,
4753,Lee Remick,12/14/1935,7/2/1991
4754,Lee Scott,,
4755,Lee Tamahori,4/22/1950,
4756,Lee Tergesen,7/8/1965,
4757,Lee Toland Krieger,,
4758,Lee Unkrich,8/8/1967,
4759,Lee Ving,,
4760,Leehom Wang,5/17/1976,
4761,Leigh Whannell,1/17/1977,
4762,Leighton Meester,4/9/1986,
4763,Leila Arcieri,12/18/1973,
4764,Leila Hatami,10/1/1972,
4765,Lela Rochon,4/17/1964,
4766,Leland Orser,8/6/1960,
4767,Leleti Khumalo,3/30/1970,
4768,Lemmy,12/24/1945,12/28/2015
4769,Len Cariou,9/30/1939,
4770,Len Wiseman,3/4/1973,
4771,Lena Dunham,5/13/1986,
4772,Lena Endre,7/8/1955,
4773,Lena Horne,6/30/1917,5/9/2010
4774,Lena Olin,3/22/1955,
4775,Lenny Abrahamson,11/30/1966,
4776,Lenny Venito,,
4777,Lenore Zann,11/22/1959,
4778,Leo Fitzpatrick,8/10/1978,
4779,Leo G. Carroll,1886-10-25,10/16/1972
4780,Leo Howard,,
4781,Leo McKern,3/16/1920,7/23/2002
4782,Leo Rossi,6/26/1946,
4783,Leon,3/8/1962,
4784,Leon Ford,,
4785,Leon Ichaso,8/3/1948,
4786,Leon Isaac Kennedy,1/1/1949,
4787,Leon Rippy,10/30/1949,
4788,Léon Schwartzenberg,,
4789,Leonard Farlinger,,
4790,Leonard Nimoy,3/26/1931,2/27/2015
4791,Leonard Roberts,2/28/1969,
4792,Leonardo DiCaprio,11/11/1974,
4793,Leonid Yarmolnik,1/22/1954,
4794,Leonie Benesch,4/22/1991,
4795,Leonor Varela,12/29/1972,
4796,Leonor Watling,7/28/1975,
4797,Leopold Stokowski,1882-04-18,9/13/1977
4798,Leos Carax,11/22/1960,
4799,Les Mayfield,,
4800,Lesley Ann Warren,8/16/1946,
4801,Lesley Manville,3/12/1956,
4802,Lesley Sharp,4/3/1960,
4803,Lesley-Anne Down,3/17/1954,
4804,Leslie Bibb,11/17/1974,
4805,Leslie Carlson,2/24/1933,5/3/2014
4806,Leslie Caron,7/1/1931,
4807,Leslie H. Martinson,1/16/1915,9/3/2016
4808,Leslie Hope,5/6/1965,
4809,Leslie Jordan,4/29/1955,
4810,Leslie Small,,
4811,Leslye Headland,11/26/1980,
4812,Lester Speight,1/7/1963,
4813,Leticia Brédice,8/26/1972,
4814,Levan Gabriadze,11/16/1969,
4815,LeVar Burton,2/16/1957,
4816,Leven Rambin,5/17/1990,
4817,Levon Helm,5/26/1940,4/19/2012
4818,Lew Temple,10/2/1967,
4819,Lewis Gilbert,6/6/1934,10/31/2011
4820,Lex Barker,,
4821,Lex Shrapnel,10/6/1979,
4822,Lexa Doig,6/8/1973,
4823,Lexi Alexander,8/23/1974,
4824,Lexie Contursi,9/18/1989,
4825,Lhakpa Dorji,,
4826,Li Gong,12/31/1965,
4827,Li Jun Li,,
4828,Li Zhang,,
4829,Lia Tucker,,
4830,Liam Aiken,1/7/1990,
4831,Liam James,9/21/1950,
4832,Liam Neeson,6/7/1952,
4833,Liane Balaban,6/24/1980,
4834,Libby Villari,,
4835,Lijun Sun,,
4836,Lil' Wayne,9/27/1982,
4837,Lila Kedrova,10/9/1918,2/16/2000
4838,Lili Taylor,2/20/1967,
4839,Liliana Cavani,1/12/1933,
4840,Lillete Dubey,5/13/1954,
4841,Lilli Lavine,,
4842,Lillian Adams,5/13/1922,5/25/2011
4843,Lillian Gish,1893-10-14,2/27/1993
4844,Lillo Brancato,3/30/1976,
4845,Lily Atkinson,,
4846,Lily Cole,12/27/1987,
4847,Lily James,4/5/1989,
4848,Lily Rabe,6/29/1982,
4849,Lily Tomlin,9/1/1939,
4850,Lin Shaye,10/12/1943,
4851,Lina Esco,5/14/1985,
4852,Lincoln Hoppe,6/5/1971,
4853,Linda Blair,1/22/1959,
4854,Linda Cardellini,6/25/1975,
4855,Linda Fiorentino,3/9/1958,
4856,Linda Harrison,7/26/1945,
4857,Linda Kozlowski,1/7/1958,
4858,Linda Lovelace,1/10/1949,4/22/2002
4859,Linda Mendoza,,
4860,Linden Ashby,5/23/1960,
4861,Lindsay Duncan,11/7/1950,
4862,Lindsay Felton,12/4/1984,
4863,Lindsay Kay Hayward,7/28/1987,
4864,Lindsay MacDonald,9/22/1997,
4865,Lindsay Price,12/6/1976,
4866,Lindsay Sloane,8/8/1977,
4867,Lindsay Wagner,6/22/1949,
4868,Lindsey Haun,11/21/1984,
4869,Lindy Booth,4/2/1979,
4870,Linnea Quigley,5/27/1958,
4871,Lino Facioli,7/29/2000,
4872,Linus Roache,2/1/1964,
4873,Lionel Abelanski,10/22/1964,
4874,Lionel Barrymore,1878-04-28,11/15/1954
4875,Lionel C. Martin,,
4876,Lior Ashkenazi,,
4877,Lisa Ann,5/9/1972,
4878,Lisa Ann Walter,8/3/1963,
4879,Lisa Arnold,,
4880,Lisa Azuelos,11/6/1965,
4881,Lisa Bonet,11/16/1967,
4882,Lisa Brave,,
4883,Lisa Cholodenko,6/5/1964,
4884,Lisa Edelstein,5/21/1966,
4885,Lisa Gaye,3/25/1964,
4886,Lisa Kay,2/11/1971,
4887,Lisa Ortiz,12/11/1974,
4888,Lisa Pelikan,7/12/1954,
4889,Lisa Ray,4/4/1972,
4890,Lisa Wilcox,4/27/1964,
4891,LisaGay Hamilton,3/25/1964,
4892,Lisanne Pajot,,
4893,LisaRaye McCoy,9/23/1966,
4894,Liv Ullmann,12/16/1938,
4895,Livingston Oden,,
4896,Livvy Stubenrauch,,
4897,Liya Kebede,3/1/1978,
4898,Liz Friedlander,,
4899,Liz Mullane,,
4900,Liza Lapira,,
4901,Liza Minnelli,3/12/1946,
4902,Lizzie Brocheré,3/22/1985,
4903,Ljubomir Kerekes,1/16/1960,
4904,LL Cool J,1/14/1968,
